Time,Speed,Distance,acceleration,force,torque,rpm,power,efficency,EnergyIn,EnergyUseful,lost to drag,lost to electric effects,EnergyLost
14.00013,14.91218,129.7196,0.5025681,0.4973417,72.54633,853.7699,1081.02,0.2831208,92744.33,13761.92,3242.454,75465.67,78708.13
14.10013,14.96096,131.1891,0.4996861,0.4990309,72.26858,856.6697,1080.539,0.2840824,93115.5,13867.22,3278.628,75695.38,78974
14.20014,15.00962,132.6637,0.4967091,0.5007035,71.99511,859.541,1080.058,0.2850346,93486.47,13972.8,3315.044,75924.35,79239.4
14.30014,15.06036,134.1431,0.493723,0.5022447,71.74448,862.1867,1079.611,0.2859119,93874.19,14083.52,3353.385,76163,79516.38
14.40014,15.10819,135.6275,0.4909125,0.5039955,71.46129,865.1924,1079.098,0.2869087,94240.41,14188.44,3389.867,76387.8,79777.67
14.50014,15.15926,137.1168,0.4881006,0.5055928,71.20438,867.9343,1078.626,0.2878179,94632.25,14301.07,3429.186,76627.68,80056.87
14.60014,15.20738,138.6111,0.4850906,0.5071777,70.95081,870.655,1078.154,0.2887202,95002.35,14407.8,3466.594,76853.61,80320.2
14.70015,15.25644,140.1102,0.4823102,0.5087537,70.69995,873.3605,1077.681,0.2896173,95380.5,14517.2,3505.092,77083.88,80588.97
14.80015,15.30163,141.6141,0.4796656,0.510474,70.42763,876.3136,1077.159,0.2905966,95729.42,14618.46,3540.862,77295.76,80836.62
14.90015,15.35131,143.1227,0.476975,0.5119886,70.18913,878.9137,1076.697,0.2914588,96113.96,14730.4,3580.556,77528.66,81109.21
15.00015,15.3979,144.6362,0.4741068,0.513673,69.92527,881.8054,1076.178,0.2924177,96475.23,14835.9,3618.114,77746.88,81365
15.10016,15.44504,146.1543,0.4715154,0.5152148,69.68504,884.452,1075.7,0.2932954,96841.63,14943.22,3656.465,77967.59,81624.05
15.20016,15.49307,147.6772,0.4689105,0.5168108,69.43762,887.1919,1075.201,0.294204,97215.75,15053.15,3695.896,78192.35,81888.25
15.30016,15.53909,149.2048,0.4662768,0.5183129,69.20594,889.7704,1074.728,0.295059,97574.96,15159.01,3734.016,78407.57,82141.59
15.40016,15.58418,150.7371,0.4636743,0.5198554,68.9692,892.4185,1074.24,0.2959372,97927.58,15263.24,3771.684,78618.28,82389.97
15.50016,15.63208,152.274,0.4610339,0.5214733,68.72217,895.1958,1073.723,0.2968582,98303,15374.54,3812.057,78842.04,82654.09
15.60017,15.67908,153.8155,0.4586152,0.5229929,68.49133,897.8044,1073.235,0.2977232,98672.23,15484.33,3852.037,79061.49,82913.53
15.70017,15.72294,155.3616,0.4560799,0.524482,68.26621,900.3607,1072.753,0.2985709,99017.44,15587.28,3889.663,79266.11,83155.77
15.80017,15.76937,156.9123,0.4534898,0.5260423,68.03146,903.0394,1072.245,0.2994592,99383.73,15696.83,3929.845,79482.66,83412.5
15.90017,15.81357,158.4674,0.4511556,0.5274851,67.81548,905.5161,1071.772,0.3002805,99733.12,15801.64,3968.426,79688.67,83657.1
16.00018,15.85925,160.0271,0.4487288,0.5289977,67.5901,908.1127,1071.273,0.3011416,100094.9,15910.46,4008.63,79901.42,83910.05
16.10018,15.90385,161.5912,0.4463063,0.5305141,67.36526,910.7158,1070.77,0.3020048,100448.9,16017.26,4048.228,80109.05,84157.27
16.20018,15.94813,163.1599,0.4438883,0.5319986,67.14619,913.2643,1070.275,0.3028499,100801.2,16123.83,4087.883,80315.13,84403.01
16.30018,15.99336,164.7329,0.4415438,0.5334787,66.92881,915.8052,1069.778,0.3036925,101161.7,16233.2,4128.722,80525.44,84654.16
16.40018,16.03797,166.3104,0.4392117,0.5349781,66.70966,918.379,1069.272,0.304546,101518.2,16341.63,4169.358,80732.8,84902.16
16.50019,16.07946,167.8924,0.4368417,0.5364242,66.49928,920.8615,1068.781,0.3053692,101850.3,16442.93,4207.452,80925.51,85132.96
16.60019,16.12472,169.4786,0.4345374,0.5378919,66.28673,923.3811,1068.28,0.3062048,102213.3,16553.97,4249.351,81135.62,85384.97
16.70019,16.16891,171.0693,0.4322439,0.5393161,66.08144,925.8259,1067.791,0.3070155,102568.6,16662.94,4290.613,81340.65,85631.27
16.80019,16.2107,172.6642,0.4300496,0.5407649,65.87354,928.313,1067.291,0.3078402,102905.3,16766.48,4329.958,81534.46,85864.42
16.9002,16.25406,174.2635,0.4277988,0.5422033,65.66808,930.7823,1066.792,0.3086591,103255.3,16874.38,4371.096,81735.39,86106.48
17.0002,16.29711,175.867,0.4256141,0.5436077,65.46838,933.1932,1066.303,0.3094586,103603.6,16982.06,4412.288,81934.8,86347.09
17.1002,16.33859,177.4747,0.4234152,0.5449803,65.27403,935.5496,1065.822,0.31024,103939.9,17086.29,4452.297,82126.84,86579.14
17.2002,16.38178,179.0867,0.4212085,0.5463973,65.0743,937.9821,1065.323,0.3110466,104290.7,17195.33,4494.286,82326.68,86820.97
17.30021,16.4215,180.7029,0.4190797,0.5478334,64.87278,940.4473,1064.815,0.3118641,104614,17296.06,4533.204,82510.34,87043.54
17.40021,16.44187,182.3228,0.4177483,0.5485557,64.77175,941.6874,1064.559,0.3122754,104780.1,17347.9,4553.282,82604.52,87157.8
17.50021,16.50509,183.9468,0.4147865,0.550679,64.47613,945.3323,1063.802,0.313484,105296,17509.27,4615.946,82896.4,87512.34
17.60021,16.54774,185.5755,0.412703,0.5519794,64.29604,947.5646,1063.336,0.3142243,105645.4,17618.93,4658.733,83093.3,87752.03
17.70021,16.58909,187.2084,0.4107155,0.553377,64.10329,949.9639,1062.833,0.3150199,105984.8,17725.76,4700.552,83284.08,87984.63
17.80022,16.62908,188.8453,0.4086699,0.554793,63.90887,952.3947,1062.32,0.315826,106313.7,17829.53,4741.303,83468.48,88209.79
17.90022,16.66923,190.4864,0.4065332,0.5561233,63.72699,954.6783,1061.837,0.3165833,106644.6,17934.19,4782.53,83653.51,88436.04
18.00022,16.71049,192.1315,0.4045509,0.5574357,63.54829,956.9313,1061.358,0.3173304,106985.5,18042.24,4825.232,83843.59,88668.83
18.10022,16.75247,193.7807,0.4025352,0.5588663,63.35432,959.3871,1060.834,0.3181448,107332.8,18152.65,4869.003,84036.8,88905.8
18.20023,16.7906,195.4338,0.4006152,0.5601812,63.1768,961.6444,1060.351,0.3188933,107649.1,18253.41,4909.077,84212.24,89121.32
18.30023,16.83025,197.091,0.3986911,0.5615326,62.99509,963.9644,1059.851,0.3196627,107978.7,18358.63,4951.056,84394.57,89345.63
18.40023,16.87212,198.7521,0.3967273,0.5627979,62.82565,966.1364,1059.383,0.320383,108327.4,18470.27,4995.729,84587.02,89582.74
18.50023,16.90879,200.4172,0.3947541,0.5641214,62.64911,968.4084,1058.89,0.3211364,108633.4,18568.45,5035.139,84755.41,89790.55
18.60023,16.95067,202.0863,0.3928597,0.5654102,62.4779,970.6208,1058.409,0.3218701,108983.7,18681.09,5080.491,84947.69,90028.18
18.70024,16.9871,203.7593,0.3909077,0.5667559,62.29986,972.9309,1057.904,0.3226361,109289,18779.49,5120.231,85114.81,90235.05
18.80024,17.02817,205.4361,0.3890631,0.5680168,62.13368,975.0956,1057.43,0.3233539,109633.8,18890.9,5165.363,85303.13,90468.49
18.90024,17.0677,207.1169,0.3872241,0.5693608,61.95726,977.4027,1056.922,0.324119,109966.5,18998.63,5209.135,85484.28,90693.41
19.00024,17.10585,208.8016,0.3852936,0.5706683,61.78633,979.6473,1056.427,0.3248633,110288.2,19103.04,5251.693,85659.01,90910.7
